Cluster,Account 0,Account 1,Account 0 %,Account 1 %
1,0.42857142857142855,0.5714285714285714,42.857142857142854,57.14285714285714
2,0.9375,1.0625,46.875,53.125
3,1.7692307692307692,1.2307692307692308,58.97435897435897,41.02564102564103
4,2.15,1.85,53.75,46.25
5,2.625,2.375,52.5,47.5
6,3.076923076923077,2.923076923076923,51.28205128205129,48.71794871794871
7,3.1666666666666665,3.8333333333333335,45.238095238095234,54.761904761904766
8,3.75,4.25,46.875,53.125
9,4.666666666666667,4.333333333333333,51.851851851851855,48.148148148148145
10,4.444444444444445,5.555555555555555,44.44444444444444,55.55555555555556
11,6.5,4.5,59.09090909090909,40.90909090909091
12,5.333333333333333,6.666666666666667,44.444444444444436,55.555555555555564
13,6.8,6.2,52.30769230769231,47.69230769230769
14,7.666666666666667,6.333333333333333,54.761904761904766,45.238095238095234
15,7.0,8.0,46.666666666666664,53.333333333333336
16,8.333333333333334,7.666666666666667,52.083333333333336,47.91666666666667
17
18
19
20,10.0,10.0,50.0,50.0
